R' U' R U' R' U2 R U R U2 R' U' R U' R'  (15f*) 
R U R' U R U2 R' U' R' U2 R U R' U R U2  (16f) 
U2 R U R' U R U2 R' U' R' U2 R U R' U R  (16f) 
U R U2 R2 U2 R' U R' U' R U2 R U R U' R' U'  (17f) 
U' R U R' U' R' U2 R' U R U' R U2 R2 U2 R' U'  (17f) 
U R' U' R U R U2 R U' R' U R' U2 R2 U2 R U'  (17f) 
U' R' U2 R2 U2 R U' R U R' U2 R' U' R' U R U'  (17f) 
U2 R' U' R U' R' U2 R U R U2 R' U' R U' R' U2  (17f) 
U' R U2 R2 U2 R' U R' U' R U2 R U R U' R' U  (17f) 
U R U R' U' R' U2 R' U R U' R U2 R2 U2 R' U  (17f) 
U' R' U' R U R U2 R U' R' U R' U2 R2 U2 R U  (17f) 
U R' U2 R2 U2 R U' R U R' U2 R' U' R' U R U  (17f) 
R U R U' R U' R' U' R' U R U R' U R' U' R'  (17f) 
R U' R' U' R' U2 R U R' U R2 U R' U' R U' R'  (17f) 
R' U2 R' U R2 U' R U2 R U2 R U R' U R U' R'  (17f) 
R' U' R U R' U R U2 R U2 R U' R2 U R' U2 R'  (17f) 
R' U' R U' R' U R2 U R' U R U2 R' U' R' U' R  (17f) 
R' U' R' U R' U R U R' U' R' U' R U' R U R  (17f) 
R U R U' R U' R' U' R U R U R' U R' U' R' U2  (18f) 
R U R' U R U' R2 U' R U' R' U2 R U R U R' U2  (18f) 
R U R' U' R U' R' U2 R' U2 R' U R2 U' R U2 R U2  (18f) 
R U2 R U' R2 U R' U2 R' U2 R' U' R U' R' U R U2  (18f) 
R' U R U R U2 R' U' R U' R2 U' R U R' U R U2  (18f) 
R' U' R' U R' U R U R U' R' U' R U' R U R U2  (18f) 
R U R' U2 R' U' R2 U' R' U R' U R U' R U2 R' U  (18f) 
R' U' R U2 R U R2 U R U' R U' R' U R' U2 R U  (18f) 
U2 R U R U' R U' R' U' R U R U R' U R' U' R'  (18f) 
U R U2 R' U R' U' R U' R U R2 U R U2 R U' R'  (18f) 
U2 R U R' U R U' R2 U' R U' R' U2 R U R U R'  (18f) 
U2 R U R' U' R U' R' U2 R' U2 R' U R2 U' R U2 R  (18f) 
U2 R U2 R U' R2 U R' U2 R' U2 R' U' R U' R' U R  (18f) 
U R' U2 R U' R U R' U R' U' R2 U' R' U2 R' U R  (18f) 
U2 R' U R U R U2 R' U' R U' R2 U' R U R' U R  (18f) 
U2 R' U' R' U R' U R U R U' R' U' R U' R U R  (18f) 
U R U' R U2 R2 U2 R' U' R' U' R2 U2 R' U2 R' U' R' U'  (19f) 
U2 R U R' U2 R' U' R2 U' R' U R' U R U' R U2 R' U'  (19f) 
U' R2 U R U R U' R' U R U' R U R' U2 R' U R' U'  (19f) 
U' R U R U2 R U2 R2 U R U R U2 R2 U2 R' U R' U'  (19f) 
U R U' R U2 R U' R' U R' U' R U R' U' R' U' R2 U'  (19f) 
U' R' U R' U2 R' U R U' R U R' U' R U R U R2 U'  (19f) 
U R' U' R' U2 R' U2 R2 U' R' U' R' U2 R2 U2 R U' R U'  (19f) 
U R2 U' R' U' R' U R U' R' U R' U' R U2 R U' R U'  (19f) 
U2 R' U' R U2 R U R2 U R U' R U' R' U R' U2 R U'  (19f) 
U' R' U R' U2 R2 U2 R U R U R2 U2 R U2 R U R U'  (19f) 
U2 R U R U' R U' R' U' R' U R U R' U R' U' R' U2  (19f) 
U2 R U' R' U' R' U2 R U R' U R2 U R' U' R U' R' U2  (19f) 
U' R U2 R' U R' U' R U' R U R2 U R U2 R U' R' U2  (19f) 
U2 R' U2 R' U R2 U' R U2 R U2 R U R' U R U' R' U2  (19f) 
U2 R' U' R U R' U R U2 R U2 R U' R2 U R' U2 R' U2  (19f) 
U2 R' U' R U' R' U R2 U R' U R U2 R' U' R' U' R U2  (19f) 
U' R' U2 R U' R U R' U R' U' R2 U' R' U2 R' U R U2  (19f) 
U2 R' U' R' U R' U R U R' U' R' U' R U' R U R U2  (19f) 
U' R U' R U2 R2 U2 R' U' R' U' R2 U2 R' U2 R' U' R' U  (19f) 
U R2 U R U R U' R' U R U' R U R' U2 R' U R' U  (19f) 
U R U R U2 R U2 R2 U R U R U2 R2 U2 R' U R' U  (19f) 
U' R U' R U2 R U' R' U R' U' R U R' U' R' U' R2 U  (19f) 
U R' U R' U2 R' U R U' R U R' U' R U R U R2 U  (19f) 
U' R' U' R' U2 R' U2 R2 U' R' U' R' U2 R2 U2 R U' R U  (19f) 
U' R2 U' R' U' R' U R U' R' U R' U' R U2 R U' R U  (19f) 
U R' U R' U2 R2 U2 R U R U R2 U2 R U2 R U R U  (19f) 
R' U R U R U' R U R2 U' R' U' R U' R2 U R' U' R'  (19f) 
R' U R U R U2 R U' R U R U2 R' U' R U R' U' R'  (19f) 
R' U' R U' R' U' R' U R U R2 U' R' U' R U' R2 U' R'  (19f) 
R' U' R2 U2 R' U' R' U2 R U R U2 R' U' R' U2 R2 U' R'  (19f) 
R U R2 U' R2 U R2 U2 R2 U' R U' R' U R U R2 U' R'  (19f) 
R' U' R2 U' R U' R' U' R2 U R U R' U' R' U' R U' R'  (19f) 
